Key,Pass,Group
EffectTex_Slash1,Data/Textures/Slash1.png,
EffectTex_Slash2,Data/Textures/Slash2.png,
EffectTex_Slash3,Data/Textures/Slash3.png,
EffectTex_Thrust1,Data/Textures/Thrust1.png,
EffectTex_HitSlash,Data/Textures/SlashH1.png,
EffectTex_CircleShadow,Data/Textures/shadow.png,
SpriteTex_TItle,Data/Textures/Title.png,
SpriteTex_GameOver,Data/Textures/gameover.png,
SpriteTex_HpBarFrame,Data/Textures/Frame.png,
SpriteTex_HpBar,Data/Textures/bar.png,
SpriteTex_EnemyHpBar,Data/Textures/ebar.png,
SpriteTex_Golem,Data/Textures/enemy/golem.png,
SpriteTex_Skeleton,Data/Textures/enemy/skeleton.png,
SpriteTex_Slime,Data/Textures/enemy/slime.png,
